datas,Athletico Paranaense ,Atlético Goianiense ,Atlético Mineiro ,Atlético Paranaense ,Avaí ,Bahia ,Botafogo ,Ceará ,Chapecoense ,Corinthians ,Coritiba ,Criciúma ,Cruzeiro ,Figueirense ,Flamengo ,Fluminense ,Fortaleza ,Goiás ,Grêmio ,Grêmio Barueri ,Guarani ,Internacional ,Náutico ,Palmeiras ,Paraná ,Ponte Preta ,Portuguesa ,Red Bull Bragantino ,Santos ,Sport ,São Caetano ,São Paulo ,Vasco ,Vitória 
2013-11-30,0.0,0.0,222.49166666666665,82.86666666666665,0.0,73.75000000000006,151.7666666666666,0.0,0.0,319.54166666666646,95.87500000000003,0.0,182.275,0.0,267.8249999999999,127.0000000000001,0.0,55.30000000000003,195.7333333333333,0.0,0.0,275.65833333333353,47.516666666666694,186.48333333333335,0.0,41.8,4.191666666666681,0.0,190.925,53.7666666666667,0.0,357.98333333333306,158.575,64.03333333333329
2013-12-31,0.0,0.0,227.89999999999998,73.39999999999998,0.0,74.40000000000006,154.39999999999992,0.0,0.0,315.9999999999998,96.70000000000003,0.0,187.9,0.0,272.89999999999986,124.8000000000001,0.0,55.500000000000036,192.29999999999995,0.0,0.0,276.7000000000002,48.10000000000003,181.20000000000002,0.0,45.599999999999994,1.4210854715202004e-14,0.0,190.3,51.400000000000034,0.0,364.6999999999997,159.7,65.09999999999995
2014-01-31,0.0,0.0,223.81666666666666,80.17500000000001,0.0,74.51666666666667,155.15,0.0,0.0,311.18333333333334,95.91666666666667,3.6,190.84166666666667,3.4916666666666667,279.075,124.59166666666667,0.0,56.43333333333334,194.30833333333334,0.0,0.0,272.09999999999997,44.09166666666667,186.73333333333332,0.0,41.800000000000004,0.0,0.0,188.70833333333334,52.18333333333333,0.0,355.5833333333333,157.15833333333333,64.82499999999999
2014-02-28,0.0,0.0,219.73333333333332,86.95000000000002,0.0,74.63333333333333,155.9,0.0,0.0,306.3666666666667,95.13333333333334,7.2,193.78333333333333,6.983333333333333,285.25,124.38333333333334,0.0,57.366666666666674,196.31666666666666,0.0,0.0,267.49999999999994,40.083333333333336,192.26666666666665,0.0,38.00000000000001,0.0,0.0,187.11666666666667,52.96666666666666,0.0,346.46666666666664,154.61666666666667,64.54999999999998
2014-03-31,0.0,0.0,215.64999999999998,93.72500000000002,0.0,74.74999999999999,156.65,0.0,0.0,301.55,94.35000000000001,10.8,196.725,10.475,291.425,124.17500000000001,0.0,58.30000000000001,198.325,0.0,0.0,262.8999999999999,36.075,197.79999999999998,0.0,34.20000000000001,0.0,0.0,185.525,53.74999999999999,0.0,337.34999999999997,152.07500000000002,64.27499999999998
2014-04-30,0.0,0.0,211.56666666666663,100.50000000000003,0.0,74.86666666666665,157.4,0.0,0.0,296.73333333333335,93.56666666666668,14.4,199.66666666666666,13.966666666666667,297.6,123.96666666666668,0.0,59.23333333333335,200.33333333333331,0.0,0.0,258.2999999999999,32.06666666666667,203.33333333333331,0.0,30.40000000000001,0.0,0.0,183.93333333333334,54.533333333333324,0.0,328.2333333333333,149.53333333333336,63.99999999999998
2014-05-31,0.0,0.0,207.4833333333333,107.27500000000003,0.0,74.9833333333333,158.15,0.0,0.0,291.9166666666667,92.78333333333335,18.0,202.60833333333332,17.458333333333332,303.77500000000003,123.75833333333335,0.0,60.166666666666686,202.34166666666664,0.0,0.0,253.6999999999999,28.058333333333337,208.86666666666665,0.0,26.60000000000001,0.0,0.0,182.34166666666667,55.316666666666656,0.0,319.1166666666666,146.9916666666667,63.72499999999998
2014-06-30,0.0,0.0,203.39999999999995,114.05000000000004,0.0,75.09999999999997,158.9,0.0,0.0,287.1,92.00000000000001,21.6,205.54999999999998,20.95,309.95000000000005,123.55000000000003,0.0,61.10000000000002,204.34999999999997,0.0,0.0,249.0999999999999,24.050000000000004,214.39999999999998,0.0,22.800000000000008,0.0,0.0,180.75,56.09999999999999,0.0,309.99999999999994,144.45000000000005,63.44999999999998
2014-07-31,0.0,0.0,199.3166666666666,120.82500000000005,0.0,75.21666666666663,159.65,0.0,0.0,282.28333333333336,91.21666666666668,25.200000000000003,208.49166666666665,24.441666666666666,316.12500000000006,123.3416666666667,0.0,62.03333333333336,206.3583333333333,0.0,0.0,244.49999999999991,20.04166666666667,219.9333333333333,0.0,19.000000000000007,0.0,0.0,179.15833333333333,56.88333333333332,0.0,300.88333333333327,141.9083333333334,63.17499999999998
2014-08-31,0.0,0.0,195.23333333333326,127.60000000000005,0.0,75.33333333333329,160.4,0.0,0.0,277.4666666666667,90.43333333333335,28.800000000000004,211.4333333333333,27.933333333333334,322.30000000000007,123.13333333333337,0.0,62.9666666666667,208.36666666666662,0.0,0.0,239.89999999999992,16.03333333333334,225.46666666666664,0.0,15.200000000000006,0.0,0.0,177.56666666666666,57.66666666666665,0.0,291.7666666666666,139.36666666666673,62.899999999999984
2014-09-30,0.0,0.0,191.14999999999992,134.37500000000006,0.0,75.44999999999995,161.15,0.0,0.0,272.65000000000003,89.65000000000002,32.400000000000006,214.37499999999997,31.425,328.4750000000001,122.92500000000004,0.0,63.900000000000034,210.37499999999994,0.0,0.0,235.29999999999993,12.025000000000006,230.99999999999997,0.0,11.400000000000006,0.0,0.0,175.975,58.44999999999998,0.0,282.6499999999999,136.82500000000007,62.624999999999986
2014-10-31,0.0,0.0,187.06666666666658,141.15000000000006,0.0,75.5666666666666,161.9,0.0,0.0,267.83333333333337,88.86666666666669,36.00000000000001,217.31666666666663,34.916666666666664,334.6500000000001,122.71666666666671,0.0,64.83333333333337,212.38333333333327,0.0,0.0,230.69999999999993,8.016666666666673,236.5333333333333,0.0,7.600000000000005,0.0,0.0,174.38333333333333,59.23333333333331,0.0,273.53333333333325,134.28333333333342,62.34999999999999
2014-11-30,0.0,0.0,182.98333333333323,147.92500000000007,0.0,75.68333333333327,162.65,0.0,0.0,263.0166666666667,88.08333333333336,39.60000000000001,220.2583333333333,38.40833333333333,340.8250000000001,122.50833333333338,0.0,65.76666666666671,214.3916666666666,0.0,0.0,226.09999999999994,4.008333333333339,242.06666666666663,0.0,3.8000000000000047,0.0,0.0,172.79166666666666,60.016666666666644,0.0,264.4166666666666,131.74166666666676,62.07499999999999
2014-12-31,0.0,0.0,178.8999999999999,154.70000000000007,0.0,75.79999999999993,163.4,0.0,0.0,258.20000000000005,87.30000000000003,43.20000000000001,223.19999999999996,41.9,347.0000000000001,122.30000000000005,0.0,66.70000000000005,216.39999999999992,0.0,0.0,221.49999999999994,5.329070518200751e-15,247.59999999999997,0.0,4.440892098500626e-15,0.0,0.0,171.2,60.799999999999976,0.0,255.2999999999999,129.2000000000001,61.79999999999999
2015-01-31,0.0,0.0,184.375,156.79166666666666,0.0,76.925,159.26666666666668,0.0,0.0,261.55,87.15833333333333,39.6,234.91666666666666,42.36666666666667,347.76666666666665,127.13333333333333,0.0,67.425,214.41666666666669,0.0,0.0,227.79166666666666,0.0,256.175,0.0,4.4750000000000005,0.0,0.0,171.09166666666667,63.03333333333333,0.0,261.5916666666667,134.24166666666665,61.0
2015-02-28,0.0,0.0,189.85,158.88333333333333,0.0,78.05,155.13333333333335,0.0,0.0,264.90000000000003,87.01666666666667,36.0,246.63333333333333,42.833333333333336,348.5333333333333,131.96666666666667,0.0,68.14999999999999,212.43333333333334,0.0,0.0,234.08333333333331,0.0,264.75,0.0,8.950000000000001,0.0,0.0,170.98333333333335,65.26666666666667,0.0,267.8833333333334,139.2833333333333,60.2
2015-03-31,0.0,0.0,195.325,160.975,0.0,79.175,151.00000000000003,0.0,0.0,268.25000000000006,86.875,32.4,258.35,43.300000000000004,349.29999999999995,136.8,0.0,68.87499999999999,210.45,0.0,0.0,240.37499999999997,0.0,273.325,0.0,13.425,0.0,0.0,170.87500000000003,67.5,0.0,274.17500000000007,144.32499999999996,59.400000000000006
2015-04-30,0.0,0.0,200.79999999999998,163.06666666666666,0.0,80.3,146.8666666666667,0.0,0.0,271.6000000000001,86.73333333333333,28.799999999999997,270.0666666666667,43.76666666666667,350.0666666666666,141.63333333333335,0.0,69.59999999999998,208.46666666666664,0.0,0.0,246.66666666666663,0.0,281.9,0.0,17.900000000000002,0.0,0.0,170.7666666666667,69.73333333333333,0.0,280.46666666666675,149.36666666666662,58.60000000000001
2015-05-31,0.0,0.0,206.27499999999998,165.15833333333333,0.0,81.425,142.73333333333338,0.0,0.0,274.9500000000001,86.59166666666667,25.199999999999996,281.7833333333334,44.23333333333334,350.83333333333326,146.4666666666667,0.0,70.32499999999997,206.4833333333333,0.0,0.0,252.9583333333333,0.0,290.47499999999997,0.0,22.375000000000004,0.0,0.0,170.6583333333334,71.96666666666667,0.0,286.75833333333344,154.40833333333327,57.80000000000001
2015-06-30,0.0,0.0,211.74999999999997,167.25,0.0,82.55,138.60000000000005,0.0,0.0,278.3000000000001,86.45,21.599999999999994,293.5000000000001,44.70000000000001,351.5999999999999,151.30000000000004,0.0,71.04999999999997,204.49999999999994,0.0,0.0,259.24999999999994,0.0,299.04999999999995,0.0,26.850000000000005,0.0,0.0,170.55000000000007,74.2,0.0,293.0500000000001,159.44999999999993,57.000000000000014
2015-07-31,0.0,0.0,217.22499999999997,169.34166666666667,0.0,83.675,134.46666666666673,0.0,0.0,281.65000000000015,86.30833333333334,17.999999999999993,305.2166666666668,45.16666666666668,352.36666666666656,156.13333333333338,0.0,71.77499999999996,202.5166666666666,0.0,0.0,265.54166666666663,0.0,307.62499999999994,0.0,31.325000000000006,0.0,0.0,170.44166666666675,76.43333333333334,0.0,299.3416666666668,164.4916666666666,56.20000000000002
2015-08-31,0.0,0.0,222.69999999999996,171.43333333333334,0.0,84.8,130.3333333333334,0.0,0.0,285.00000000000017,86.16666666666667,14.399999999999993,316.9333333333335,45.63333333333335,353.1333333333332,160.96666666666673,0.0,72.49999999999996,200.53333333333325,0.0,0.0,271.8333333333333,0.0,316.19999999999993,0.0,35.800000000000004,0.0,0.0,170.33333333333343,78.66666666666667,0.0,305.6333333333335,169.53333333333325,55.40000000000002
2015-09-30,0.0,0.0,228.17499999999995,173.525,0.0,85.925,126.20000000000006,0.0,0.0,288.3500000000002,86.025,10.799999999999994,328.6500000000002,46.100000000000016,353.89999999999986,165.80000000000007,0.0,73.22499999999995,198.5499999999999,0.0,0.0,278.125,0.0,324.7749999999999,0.0,40.275000000000006,0.0,0.0,170.2250000000001,80.9,0.0,311.9250000000002,174.5749999999999,54.60000000000002
2015-10-31,0.0,0.0,233.64999999999995,175.61666666666667,0.0,87.05,122.06666666666672,0.0,0.0,291.7000000000002,85.88333333333334,7.199999999999994,340.3666666666669,46.566666666666684,354.6666666666665,170.6333333333334,0.0,73.94999999999995,196.56666666666655,0.0,0.0,284.4166666666667,0.0,333.3499999999999,0.0,44.75000000000001,0.0,0.0,170.1166666666668,83.13333333333334,0.0,318.21666666666687,179.61666666666656,53.800000000000026
2015-11-30,0.0,0.0,239.12499999999994,177.70833333333334,0.0,88.175,117.93333333333338,0.0,0.0,295.05000000000024,85.74166666666667,3.599999999999994,352.0833333333336,47.03333333333335,355.43333333333317,175.46666666666675,0.0,74.67499999999994,194.5833333333332,0.0,0.0,290.70833333333337,0.0,341.9249999999999,0.0,49.22500000000001,0.0,0.0,170.00833333333347,85.36666666666667,0.0,324.50833333333355,184.65833333333322,53.00000000000003
2015-12-31,0.0,0.0,244.59999999999994,179.8,0.0,89.3,113.80000000000004,0.0,0.0,298.40000000000026,85.60000000000001,-6.217248937900877e-15,363.8000000000003,47.50000000000002,356.1999999999998,180.3000000000001,0.0,75.39999999999993,192.59999999999985,0.0,0.0,297.00000000000006,0.0,350.4999999999999,0.0,53.70000000000001,0.0,0.0,169.90000000000015,87.60000000000001,0.0,330.80000000000024,189.69999999999987,52.20000000000003
2016-01-31,0.0,0.0,250.575,179.89166666666668,0.0,92.55833333333334,117.33333333333333,0.0,6.233333333333333,313.9833333333333,87.59166666666667,0.0,353.3416666666667,49.44166666666666,369.01666666666665,189.70000000000002,0.0,76.65,202.6,0.0,0.0,296.6333333333333,0.0,362.76666666666665,0.0,49.225,0.0,0.0,180.39166666666668,91.09166666666667,0.0,336.0083333333333,191.66666666666666,57.175000000000004
2016-02-29,0.0,0.0,256.55,179.98333333333335,0.0,95.81666666666668,120.86666666666666,0.0,12.466666666666667,329.5666666666666,89.58333333333334,0.0,342.8833333333334,51.383333333333326,381.8333333333333,199.10000000000002,0.0,77.9,212.6,0.0,0.0,296.26666666666665,0.0,375.0333333333333,0.0,44.75,0.0,0.0,190.88333333333335,94.58333333333334,0.0,341.21666666666664,193.63333333333333,62.150000000000006
2016-03-31,0.0,0.0,262.52500000000003,180.07500000000002,0.0,99.07500000000002,124.39999999999999,0.0,18.7,345.1499999999999,91.57500000000002,0.0,332.42500000000007,53.32499999999999,394.65,208.50000000000003,0.0,79.15,222.6,0.0,0.0,295.9,0.0,387.29999999999995,0.0,40.275,0.0,0.0,201.37500000000003,98.07500000000002,0.0,346.42499999999995,195.6,67.125
